"id","longitude","latitude","elevation","snowload"
1,-112.27,37.52,2713,5.41
2,-109.161,40.895,1676,0.934
3,-111.777,40.451,1526,1.867
4,-111.599,40.6,2664,14.635
5,-110.283,40.361,1943,2.442
6,-112.482,37.44,2146,4.596
7,-111.961,38.249,1951,1.293
8,-109.583,38.596,1246,0.79
9,-111.5,40.167,1567,3.543
10,-111.4,41.966,1829,4.022
11,-112.267,41.467,1284,1.58
12,-112.482,38.267,2217,5.458
13,-111.56,39.14,2435,4.884
14,-111.1,40.61,2524,5.506
15,-112.633,38.283,1808,1.341
16,-111.94,41.38,2438,20.541
17,-111.92,41.38,1777,10.581
18,-112.36,38.3,3154,9.863
19,-111.664,37.08,1250,0.575
20,-111.533,39.867,1747,3.112
21,-111.6,38.68,2884,4.836
22,-112.953,38.708,1494,1.436
23,-109.481,37.615,1841,2.011
24,-112.865,37.596,3260,15.609
25,-109.558,37.283,1316,0.67
26,-109.183,40.017,1661,2.346
27,-111.42,37.905,2036,2.442
28,-111.89,40.854,1384,1.867
29,-112.02,38.51,2996,6.751
30,-112.847,37.693,2978,16.519
31,-112.079,41.535,1289,1.867
32,-110.59,40.58,3231,9.863
33,-112.15,37.7,2313,4.453
34,-112.168,37.641,2412,5.267
35,-111.44,39.13,2874,8.858
36,-111.42,41.68,2423,9.576
37,-110.72,37.53,1165,0.862
38,-113.713,39.9,1320,1.005
39,-112.667,40.683,1299,1.436
40,-109.49,37.81,2733,7.852
41,-109.821,38.455,1807,1.197
42,-109.782,38.151,1525,1.005
43,-111.267,38.283,1676,1.197
44,-111.61,40.28,2370,8.14
45,-111.024,39.194,1719,1.437
46,-109.399,38.651,1439,0.91
47,-112.74,37.66,2920,7.565
48,-112.996,37.653,1966,1.867
49,-113.1,37.7,1710,1.293
50,-113.076,37.688,1835,1.437
51,-109.083,37.716,2060,3.112
52,-111.05,40.85,2741,11.06
53,-111.07,40.89,2487,6.416
54,-110.01,40.77,3228,7.469
55,-112.273,38.169,1846,0.718
56,-111.832,40.828,1625,4.501
57,-111.83,37.97,3063,5.698
58,-111.28,39.87,2715,8.954
59,-111.25,39.89,2334,6.655
60,-112.617,39.1,1403,1.101
61,-111.15,40.936,1984,2.107
62,-111.416,40.941,1680,1.963
63,-111.783,40.619,1512,2.394
64,-111.09,40.36,2438,6.224
65,-112.053,41.833,1308,3.16
66,-111.26,40.3,2450,8.858
67,-111.533,40.4,1606,3.495
68,-112.619,39.312,1404,1.197
69,-113.75,38.6,1601,1.245
70,-111.47,39.05,2799,7.182
71,-109.325,40.401,1456,1.796
72,-111.48,38.21,2987,3.83
73,-111.9,40.486,1372,1.053
74,-111.54,41.41,2545,10.677
75,-112.17,40.57,2162,5.889
76,-110.4,40.167,1682,1.676
77,-112.919,40.183,1323,0.91
78,-109.53,39.31,2530,4.118
79,-111.95,39.95,1430,1.484
80,-113.65,37.767,1570,1.245
81,-113.716,37.57,1622,2.011
82,-111.586,39.358,1679,2.202
83,-111.598,37.768,1771,1.963
84,-113.953,39.109,1518,1.149
85,-112.117,39.95,1972,4.022
86,-112.087,40.267,1487,1.341
87,-111.416,39.748,2057,3.735
88,-111.433,39.617,1817,2.011
89,-111.925,41.018,1335,1.819
90,-111.81,40.97,2066,10.438
91,-111.82,40.99,2438,16.95
92,-111.68,38.77,2951,8.523
93,-111.132,39.087,1807,1.58
94,-112.328,38.966,1561,1.532
95,-113.398,39.84,1323,0.814
96,-110.47,40.72,3335,8.906
97,-109.412,40.932,1911,1.58
98,-109.91,40.286,1539,1.676
99,-112.335,38.578,1804,1.724
100,-113.46,37.4,2537,6.751
101,-112.198,40.723,1320,1.101
102,-114.033,38.933,1608,2.298
103,-111.707,40.275,1385,1.309
104,-113.833,40.167,1621,1.532
105,-111.68,38.8,2423,4.692
106,-112.486,40.601,1339,1.149
107,-110.152,38.995,1241,1.532
108,-113.883,41.714,1622,2.298
109,-113.728,37.283,1253,1.436
110,-113.94,37.5,2061,8.044
111,-110.715,38.371,1313,1.341
112,-110.767,40.4,2056,4.261
113,-110.18,38.25,2012,1.341
114,-111.72,40.87,2210,8.283
115,-111.567,41.6,1695,3.16
116,-112.58,37.49,2377,6.847
117,-112.433,37.65,2103,2.346
118,-110.84,40.83,2800,6.559
119,-111.417,40.5,1716,3.352
120,-110.866,39.73,1859,1.389
121,-110.48,40.95,2901,4.549
122,-111.017,39.483,2204,2.155
123,-109.96,40.91,2787,3.399
124,-110.384,37.875,1219,0.67
125,-110.19,40.92,2789,3.016
126,-111.47,41.335,2496,10.462
127,-109.077,37.386,1597,1.149
128,-111.715,41.237,1567,4.309
129,-113.988,40.038,1609,1.389
130,-110.75,39.89,2797,7.038
131,-112.6,40.333,1716,2.155
132,-111.283,40.65,1974,2.681
133,-112.533,37.045,1506,1.053
134,-112.433,38.8,1522,1.772
135,-112.39,38.48,2783,6.895
136,-109.54,40.72,2659,5.171
137,-111.985,37.517,1770,1.676
138,-113.05,37.53,2806,13.598
139,-111.884,38.511,2113,1.915
140,-109.234,38.301,2068,1.484
141,-113.268,37.202,981,0.335
142,-110.62,40.74,3342,10.342
143,-110.43,40.6,3174,6.703
144,-111.321,41.825,1823,2.442
145,-109.27,38.48,2914,5.985
146,-111.867,39.554,1615,1.772
147,-111.83,41.41,1995,6.751
148,-113.85,37.49,1859,4.213
149,-112.307,39.729,1596,1.436
150,-111.65,38.4,2155,1.341
151,-111.865,41.701,1370,2.034
152,-111.803,41.75,1460,1.676
153,-113.4,37.51,2438,5.554
154,-112.51,37.49,2275,4.932
155,-111.71,40.84,2499,12.353
156,-111.76,40.83,2042,7.948
157,-109.664,40.56,1963,2.777
158,-111.262,39.682,2658,8.307
159,-109.726,40.99,1964,100
160,-111.631,39.258,1750,1.341
161,-112.229,38.45,1801,1.101
162,-112.44,38.3,2653,6.129
163,-109.868,37.15,1258,0.431
164,-112.84,37.57,2987,13.885
165,-113.017,38.4,1532,1.676
166,-111.64,40.66,2733,11.395
167,-112.61,40.49,2506,9.193
168,-113.926,37.8,1664,1.245
169,-111.5,41.47,2731,13.502
170,-109.307,37.87,2079,3.926
171,-110.217,37.017,1615,0.766
172,-111.683,41.043,1551,1.915
173,-111.585,39.53,1695,1.58
174,-109.89,40.61,2899,7.374
175,-111.722,40.75,1652,2.921
176,-110.062,40.195,1549,1.293
177,-109.977,37.609,1982,1.819
178,-110.05,40.417,1814,2.107
179,-111.833,39.708,1564,1.532
180,-113.3,37.483,1605,2.346
181,-110.25,39.8,1765,2.394
182,-112.334,39.379,1549,1.389
183,-111.989,41.239,1316,1.437
184,-111.694,40.342,1453,1.532
185,-112.633,37.268,1664,1.963
186,-109.644,40.135,1424,1.389
187,-112.439,37.817,2026,1.389
188,-113.333,41.8,1684,1.58
189,-111.63,40.76,2286,7.182
190,-112.882,37.825,1829,1.389
191,-111.81,40.93,2359,11.204
192,-113.885,39.631,1457,0.814
193,-111.717,40.033,1464,1.915
194,-111.63,39.93,2459,8.762
195,-111.58,39.01,2926,7.709
196,-112.25,38.88,2679,8.618
197,-111.838,41.258,1506,4.884
198,-112.149,41.872,1362,1.484
199,-110.809,39.608,1711,1.628
200,-111.185,41.665,1911,2.202
201,-111.27,39.45,2746,8.187
202,-112.039,38.806,1617,1.053
203,-111.813,41.903,1426,2.107
204,-112,41.15,1341,1.101
205,-110.69,40.55,2405,4.309
206,-112.24,40.44,2713,12.88
207,-111.416,38.914,2304,1.724
208,-111.867,38.959,1564,1.436
209,-111.833,40.755,1464,2.251
210,-111.931,40.775,1296,1.268
211,-112.1,40.767,1284,1.101
212,-111.781,39.958,1573,1.963
213,-112.1,39.25,1618,1.724
214,-111.134,39.751,2339,5.123
215,-111.43,39.31,3021,8.235
216,-111.12,40.79,2316,6.033
217,-111.5,40.55,1829,6.943
218,-111.66,40.56,2938,20.301
219,-112.717,41.967,1390,1.724
220,-111.533,40.7,1969,4.261
221,-111.6,40.083,1439,1.676
222,-113.567,37.107,842,0.958
223,-110.5,40.91,3109,7.517
224,-111.21,40.16,2476,8.666
225,-110.367,39.567,2051,2.681
226,-111.55,41.79,2257,7.278
227,-111.53,40.62,2813,11.348
228,-112.433,41.717,1402,1.724
229,-109.717,38.967,1554,1.532
230,-111.707,40.445,1719,3.495
231,-111.62,40.43,2481,13.311
232,-111.63,41.9,2583,17.093
233,-112.297,40.528,1545,1.915
234,-112.164,41.711,1314,2.155
235,-111.913,41.917,1358,2.538
236,-110.95,40.68,3046,13.454
237,-112.082,37.626,1914,1.867
238,-109.67,40.74,2901,5.315
239,-111.717,40.433,1625,2.729
240,-111.899,40.363,1372,1.101
241,-112.937,41.05,1353,0.862
242,-109.521,40.44,1611,1.532
243,-112.41,39.94,2256,6.655
244,-112.443,40.09,1670,1.149
245,-113.667,37.352,1402,1.436
246,-113.426,38.483,1487,1.436
247,-111.404,40.791,1811,2.825
248,-111.912,41.113,1494,2.777
249,-112.9,37.58,2805,8.858
250,-110.686,39.545,1646,1.819
251,-110.99,39.96,2634,6.416
252,-111.973,37.875,2298,1.963
253,-111.88,37.84,2938,7.086
254,-111.15,41.533,1925,2.011
255,-112.984,37.209,1234,0.814
